3582 1701 1326 2772 4806 1283 2301 4473 927 2882 4203 1994 4217 440 4415 3037 4525 2209 4733 1878
2740 3750 4402 4631 559 2867 2206 1132 3285 2357 319 1941 3949 4091 1934 1834 2654 866 1834 4890
3062 366 3433 93 3433 1927 1463 3339 3908 1022 78 2923 1941 429 4402 503 4289 3814 1458 921
558 4051 1170 4979 3378 3876 4989 2509 1904 2278 2472 1101 4128 2015 115 1941 2921 4258 1219 3622
809 933 1490 1673 304 4925 4028 1420 4402 4671 4355 2917 2482 4996 3499 2698 2687 1175 3600 4912
3889 502 111 4213 2519 3822 164 1994 1803 3480 2886 1438 4733 4865 4931 25 3944 2102 2027 0
3384 4828 4532 39 1562 2612 2074 1217 85 490 228 1291 3487 4602 162 1583 1809 1637 3988 3292
4179 4914 3284 2718 2672 4402 4402 4460 2684 1231 4555 1458 1610 2561 111 2623 4186 1359 1974 3339
4033 4079 1004 4752 4171 1927 1001 2166 1823 3177 1433 2946 2770 1269 1186 3271 1994 1553 1438 3517
4414 2220 3087 2539 4058 2218 2740 1915 3217 1354 2225 1421 2617 4201 932 351 3284 687 794 1811
3068 1221 2770 3809 2247 4402 1026 4541 3638 388 2139 4930 606 4649 1354 3977 3685 1340 1894 39
2660 2009 4550 287 2874 921 4661 358 1186 559 761 976 3832 4638 4195 1563 1341 3417 2046 1982
1370 800 362 3977 3757 4983 2172 699 403 2809 2594 3813 3126 3764 489 4457 3037 4821 435 3813
3613 1340 4596 2268 4735 1824 1583 435 2931 3457 3590 4402 687 1022 4215 3316 1059 97 4865 1809
2809 4752 1927 2240 4265 4548 4920 3362 3687 1065 4294 4686 4661 3037 1531 2764 531 513 1658 1278
3471 2048 3740 0 3143 3221 3778 255 2280 1445 942 2776 2882 1667 1004 2191 4833 3077 1049 2726
1433 3411 4856 3404 1933 4671 3650 4215 92 3177 1985 351 3707 4170 646 3570 2514 3094 3813 4856
2584 4118 4666 3271 4782 4253 2901 2046 2173 2921 800 1683 3150 3177 2172 2849 3564 735 2758 768
4046 3697 1982 4402 626 4572 3268 310 3198 1994 980 435 1994 4733 4757 3480 1741 984 120 4894
4402 3404 3568 327 2228 337 634 4360 3326 1814 1994 1927 4622 1415 1340 1691 724 4528 3062 2800
1856 1231 4402 480 1941 4750 520 768 765 3981 4260 1415 2364 4879 459 3917 2777 1894 2524 2045
1004 2763 3284 3539 1078 459 2009 1972 1941 794 4360 861 2742 1927 1516 1476 2519 2476 2743 3522
653 3462 4057 4034 4980 4402 2884 131 3404 1554 3271 2930 1933 264 4516 3451 2468 2799 358 2524
2702 3821 3489 327 1950 4563 3813 3263 54 1508 1651 370 4791 4203 3457 724 1583 3910 1583 2227
3759 132 3758 3284 1231 4989 4402 3703 3948 47 2661 4752 2579 2269 4063 3007 1927 1598 4063 1865
1850 3517 4971 1557 4752 2468 3404 3316 2666 4636 532 4500 1429 2600 1997 419 69 878 2865 185
3628 663 1438 4173 338 1701 617 2579 4803 3231 3068 735 3271 111 4555 343 784 4413 4342 4890
147 4865 1941 3480 1438 4981 1193 4581 4351 398 648 4265 3910 4420 3519 4215 4173 4330 663 1354
1789 4402 2666 3302 4718 2237 1761 111 4207 1045 2470 1964 71 4342 1637 3037 1573 4419 2156 1132
4709 3843 2724 696 1784 1004 100 4973 4532 4757 1344 1667 1994 4803 3672 3489 1077 4997 2571 409
1505 3143 3404 3343 156 1206 1438 1438 2492 3621 201 4983 2336 2611 4890 2362 5 3195 2107 1159
277 4914 1558 1941 717 2299 3541 89 1830 1554 1132 2523 3404 2720 2474 4980 1712 2988 1941 2641
3942 4482 3589 168 4526 4419 1966 4062 1760 3255 2492 842 830 1485 2151 4063 4175 1056 1420 4902
1536 2026 2139 52 3341 4231 4307 892 459 2035 4890 303 1159 3109 1583 1767 3354 1461 2537 3142
4016 4898 4372 4555 965 4410 75 3890 4695 1913 363 601 1927 3260 1341 499 1760 565 2305 1696
2519 2917 3890 3621 4417 3998 2641 699 980 4983 4912 1977 4890 4011 4209 121 423 794 4420 3339
1933 3062 2930 2820 1275 4172 71 2909 1586 131 1578 687 1177 2069 251 3831 2073 212 3013 463
4413 1927 1573 388 1811 71 3643 2009 0 2740 4402 3404 2028 2775 3506 3669 3624 2946 995 1275
601 2209 4655 3553 1942 2430 4402 111 2514 160 4983 4242 4213 1592 874 4964 4217 2727 2561 3837
4554 1340 2144 212 2195 1820 4420 895 4563 4316 1882 784 3966 1555 2150 4594 299 205 4186 3764
4649 4086 940 2555 2292 4879 938 2368 2292 1840 3326 1201 177 1927 3619 3802 1809 4983 4929 341
1186 1446 2003 4402 2795 1664 4414 4374 4207 1993 2234 4902 4207 4678 4402 4460 1784 602 4374 3752
